,fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified,tweets_en
16,Jackson Hinkle 🇺🇸,1720219209630662728,13386,176,873,5636,Hamas,🚨🇮🇱 Ben Shapiro believes this Palestinian child is a “Hamas terrorist!”,2023-11-02T23:19:00.000Z,@jacksonhinklle,True,🚨🇮🇱 Ben Shapiro believes this Palestinian child is a “Hamas terrorist!”
17,Jackson Hinkle 🇺🇸,1719879476312469544,93465,3079,2687,26760,Hamas,"🇰🇵🇮🇱 Kim Jong in has reportedly instructed North Korean government officials to provide support to Palestine, including potential weapons shipments to Hamas.

🚨 North Korea does NOT recognize a state of Israel.",2023-11-02T00:49:00.000Z,@jacksonhinklle,True,"🇰🇵🇮🇱 Kim Jong in has reportedly instructed North Korean government officials to provide support to Palestine, including potential weapons shipments to Hamas.

🚨 North Korea does NOT recognize a state of Israel."
18,Magen Judah,1720318747708146030,0,0,0,0,Hamas,"If Taiwan invaded China and slaughtered 1400 people (1000 civilians) of all ages and took hostages, China’s response wouldn’t be anywhere near as restrained as Israel is right now after Hamas’ October 7th Massacre.

#FreeGazaFromHamas",2023-11-03T05:55:00.000Z,@magenjudah,True,"If Taiwan invaded China and slaughtered 1400 people (1000 civilians) of all ages and took hostages, China’s response wouldn’t be anywhere near as restrained as Israel is right now after Hamas’ October 7th Massacre.

#FreeGazaFromHamas"
19,Claudio Dantas,1720244608486064391,600,0,33,79,Hamas,A mesma turma que defende o Hamas também comemorou silenciosamente (alguns nem tanto) a invasão da Ucrânia. São colaboracionistas.,2023-11-03T01:00:00.000Z,@claudioedantas,True,The same group that defends Hamas also silently celebrated (some not so much) the invasion of Ukraine. They are collaborators.
20,Eric Zemmour,1720104826304962889,2952,34,571,1108,Hamas,"Le Hamas ne veut pas défendre la Palestine, il veut détruire Israël. Le Hamas ne se bat pas pour une terre, encore moins pour un peuple, il veut instaurer le califat islamique.

Le Hamas n’est pas un mouvement de libération nationale ! Pas une ligue révolutionnaire ! Pas un groupe de résistants ! Mais un groupe islamique, une milice djihadiste visant l'éradication des juifs d'Israël et la chute du monde occidental, qu’ils appellent les croisés.",2023-11-02T15:45:00.000Z,@ZemmourEric,True,"Hamas does not want to defend Palestine, it wants to destroy Israel. Hamas is not fighting for a land, even less for a people, it wants to establish the Islamic caliphate.

Hamas is not a national liberation movement! Not a revolutionary league! Not a group of resistance fighters! But an Islamic group, a jihadist militia aimed at the eradication of Jews from Israel and the fall of the Western world, they call the Crusaders."
21,Visegrád 24,1720295899052597358,1669,30,310,569,Hamas,"Young women in New York City taking down posters of Israeli civilians kidnapped by Hamas.

The woman recording is having none of it 

🇺🇸🇮🇱",2023-11-03T04:24:00.000Z,@visegrad24,True,"Young women in New York City taking down posters of Israeli civilians kidnapped by Hamas.

The woman recording is having none of it 

🇺🇸🇮🇱"
22,🇺🇦Ukrainian Front,1720156814426202178,188,4,19,34,Hamas,"⚡️Unique footage of a Hamas man running up to a moving 🇮🇱Merkava Mk4M and placing a demolition charge on it, after which he runs away and an explosion occurs.

After an explosion, a tandem shot from an RPG-7 is added to the tank, which was rolling alone without infantry escort.",2023-11-02T19:11:00.000Z,@front_ukrainian,True,"⚡️Unique footage of a Hamas man running up to a moving 🇮🇱Merkava Mk4M and placing a demolition charge on it, after which he runs away and an explosion occurs.

After an explosion, a tandem shot from an RPG-7 is added to the tank, which was rolling alone without infantry escort."
23,Jackson Hinkle 🇺🇸,1720208392499707960,23427,415,1205,14604,Hamas,"💔🇵🇸 Another innocent girl KILLED BY ISRAEL.

🚨🇮🇱 But the media will tell you Israel is just “targeting Hamas.”",2023-11-02T22:36:00.000Z,@jacksonhinklle,True,"💔🇵🇸 Another innocent girl KILLED BY ISRAEL.

🚨🇮🇱 But the media will tell you Israel is just “targeting Hamas.”"
24,Ben Shapiro,1719670830483865693,39433,1009,13561,7392,Hamas,"If you say that you don't understand the moral difference between:

(1) Hamas murdering babies, raping women and killing them, beheading men, and kidnapping hundreds; and

(2) Israel telling civilians to leave, killing Hamas members, and hitting civilians because Hamas keeps them there...

I don't believe you. You understand the difference. You're lying.",2023-11-01T11:00:00.000Z,@benshapiro,True,"If you say that you don't understand the moral difference between:

(1) Hamas murdering babies, raping women and killing them, beheading men, and kidnapping hundreds; and

(2) Israel telling civilians to leave, killing Hamas members, and hitting civilians because Hamas keeps them there...

I don't believe you. You understand the difference. You're lying."
25,ashok hindustani,1720318745204105491,0,0,0,0,Hamas,"Hamas and Israel should both be tried for war crimes and such other countries and people, those who don't follow the norms in international warfare should be tried for war crimes otherwise this killing of world population will not stop",2023-11-03T05:55:00.000Z,@myfictionworld1,False,"Hamas and Israel should both be tried for war crimes and such other countries and people, those who don't follow the norms in international warfare should be tried for war crimes otherwise this killing of world population will not stop"
26,Şevki Karabekiroğlu.,1719987841847919096,5337,30,184,1860,Hamas,"Hamas Ateşkes için şartlarını açıkladı: 

1- Gazze'deki ablukanın karadan, denizden ve havadan kalıcı olarak kaldırılması, tüm kapıların 24 saat içinde açılması, havaalanı ve limanların açılması.   

2- 58 Filistinli çocuğun serbest bırakılması.  

3-285 kadın tutsağın serbest bırakılması.  

4-Hamas mensubu 3.000  

5- El Fetih mensubu başta Mervan Barguti olmak üzere 2.980 

6-Halk Cephesi mensubu  380  

7- Demokratik Cephe mensubu 288  

8- İslami Cihad mensubu 2.700 tutsağın serbest bırakılması  

9- Filistin davasına destek verdikleri için tutuklanan Ürdünlü, Lübnanlı, Suriyeli, Mısırlı: Müslüman, Hıristiyan, Şii, Sünni, Dürzi, Ermeni, Boşnak, Kürt ve Çerkes mahkumların serbest bırakılması.   

10- Uluslararası ve Filistinlilerden oluşan bir komitenin hapishanelerin denetimini  sağlaması.  

11- Filistin'in 650 Milyon USD değerindeki el konulan fonlarının iadesi.   

12-  Mescid-i Aksa'ya yönelik saldırılarını durdurulması.   

13- İşgalci yerleşimcilerin engellenmesi.  

14- İsrail'in 7 Ekim'den başlayarak  Gazze'de yıktığı her şeyin titizlikle yeniden inşa edilmesi.",2023-11-02T08:00:00.000Z,@karabekiroglu_s,True,"Hamas announced its conditions for the ceasefire:

1- Permanent lifting of the blockade of Gaza by land, sea and air, opening of all gates within 24 hours, opening of airports and ports.

2- Release of 58 Palestinian children.

Release of 3-285 female prisoners.

4-Hamas members 3,000

5- 2,980 Fatah members, especially Mervan Barghouti

6- 380 members of the Popular Front

7- 288 members of the Democratic Front

8- Release of 2,700 prisoners of Islamic Jihad

9- Release of Jordanian, Lebanese, Syrian, Egyptian: Muslim, Christian, Shiite, Sunni, Druze, Armenian, Bosnian, Kurdish and Circassian prisoners arrested for supporting the Palestinian cause.

10- A committee consisting of international and Palestinians ensures the supervision of prisons.

11- Return of Palestine's confiscated funds worth 650 Million USD.

12- Stopping the attacks against Masjid al-Aqsa.

13- Preventing invading settlers.

14- Meticulously rebuilding everything that Israel destroyed in Gaza, starting from October 7."
27,Sabil,1720318744696930571,0,0,0,0,Hamas,"Bagus kalo lo ga dukung zionis artinya otak lo masih bener. Belajar yg bener. Lo sendiri nyari data dari zionis itu sendiri, lo jg liat dr kacamata hamas dan org palestina. Ga ada asap kalo ga ada api. W jg ga makan dari mereka wooy, w org yg intelek .hehe w lg cosplay jadi lo ni",2023-11-03T05:55:00.000Z,@sabilibasabil,False,"It's good if you don't support the Zionists, it means your brain is still right. Study properly. You yourself look for data from the Zionists themselves, you also look at it through the eyes of Hamas and the Palestinians. There is no smoke if there is no fire. I also don't eat from them, wow, I'm an intellectual person. Hehe, I'm cosplaying as you"
28,Richard Medhurst,1720282515842199990,2453,29,190,776,Israel,"Israel and the US are taking such a spanking they daren't even mention it. Look what happened just today:

-The Iraqi resistance fired at Israeli targets in the Dead Sea (!) for the first time

-Hezbollah attacked 19 different Israeli positions using mortars, rockets, precision missiles, and drones for the first time. Direct hits confirmed and Israeli helicopters evacuating many wounded Israeli soldiers.

-The Resistance also struck the US occupation's bases at Shadadee oil fields in Syria and Erbil in Iraq.

-This is barely 24h after Yemen fired a volley of drones and ballistic cruise missiles at ""Israel"" from over 1500km.

This isn't even close to full operational capability. The West have bitten off more than they can chew.",2023-11-03T03:31:00.000Z,@richimedhurst,True,"Israel and the US are taking such a spanking they daren't even mention it. Look what happened just today:

-The Iraqi resistance fired at Israeli targets in the Dead Sea (!) for the first time

-Hezbollah attacked 19 different Israeli positions using mortars, rockets, precision missiles, and drones for the first time. Direct hits confirmed and Israeli helicopters evacuating many wounded Israeli soldiers.

-The Resistance also struck the US occupation's bases at Shadadee oil fields in Syria and Erbil in Iraq.

-This is barely 24h after Yemen fired a volley of drones and ballistic cruise missiles at ""Israel"" from over 1500km.

This isn't even close to full operational capability. The West have bitten off more than they can chew."
29,MaceAhSAG-Aftra 👻,1720175588575514745,909,5,12,150,Israel,"Saying “Muslim countries don’t even support LGBT people” as an attempted talking point to make people agree with Israel committing genocide is fucked up on its own, 

But it’s also hilariously audacious because gay marriage is illegal in Israel.",2023-11-02T20:26:00.000Z,@MaceAhWindu,False,"Saying “Muslim countries don’t even support LGBT people” as an attempted talking point to make people agree with Israel committing genocide is fucked up on its own, 

But it’s also hilariously audacious because gay marriage is illegal in Israel."
30,Al Jazeera English,1720289705835540518,668,11,57,472,Israel,"“Israel has carried out the war crime of collective punishment and continues to do that.” 

Yasmine Ahmed, UK Director of Human Rights Watch tells Al Jazeera of the dire situation for the children of Gaza ⤵️",2023-11-03T04:00:00.000Z,@AJEnglish,True,"“Israel has carried out the war crime of collective punishment and continues to do that.” 

Yasmine Ahmed, UK Director of Human Rights Watch tells Al Jazeera of the dire situation for the children of Gaza ⤵️"
31,Talkingfrog,1720318748857688301,0,0,0,0,Israel,While the Iranian stooge leader won’t be there it looks like a lot of other stooges will be. A target rich environment. I wonder if loitering drones will be around in case Iran chooses to launch these particular dogs at Israel.,2023-11-03T05:55:00.000Z,@Talkingfrog1570,False,While the Iranian stooge leader won’t be there it looks like a lot of other stooges will be. A target rich environment. I wonder if loitering drones will be around in case Iran chooses to launch these particular dogs at Israel.
32,Ali Abunimah is now on bluesky,1720165477295472800,429,11,25,240,Israel,"Summary of Reichminister @HabeckPress speech: Because Germany committed genocide against the Jews in the past, it is today our solemn duty, nay our very raison d’etre, to support Jews in Israel when they commit genocide now.",2023-11-02T19:46:00.000Z,@AliAbunimah,True,"Summary of Reichminister @HabeckPress speech: Because Germany committed genocide against the Jews in the past, it is today our solemn duty, nay our very raison d’etre, to support Jews in Israel when they commit genocide now."
33,ædydx,1718610346146238565,42,0,1,2,Israel,Palestine was basically israel because of what? star of david? explain how Barbarossa flag then,2023-10-29T12:46:00.000Z,@hfzulaidil,False,Palestine was basically israel because of what? star of david? explain how Barbarossa flag then
34,ㅤ ㅤ  ㅤㅤ🌏 ＜br /＞空兒,1720318748463141014,0,0,0,0,Israel,"Hundreds of people posting this saying Israel can't possible win, while also crying about imminent genocide. Which one is it?",2023-11-03T05:55:00.000Z,@Nin_99,True,"Hundreds of people posting this saying Israel can't possible win, while also crying about imminent genocide. Which one is it?"
35,Quds News Network,1720217748922335436,1599,48,59,1455,Israel,"Activists continue calling for a #boycott of brands that support #Israel despite its war crimes. 
This is a viral video in #Bangladesh.
#Gazagenocide.",2023-11-02T23:14:00.000Z,@QudsNen,True,"Activists continue calling for a #boycott of brands that support #Israel despite its war crimes. 
This is a viral video in #Bangladesh.
#Gazagenocide."
36,StopAntisemitism,1719482046454571439,20740,756,2868,9229,Israel,"Upper West Side NYC - “f*ck you and f*ck Israel” … other woman “f*ck you b*tch … f*ck you and Israel” while both tearing down posters of kidnapped Israeli children taken by Hamas terrorists.

Help identify them!",2023-10-31T22:30:00.000Z,@StopAntisemites,True,"Upper West Side NYC - “f*ck you and f*ck Israel” … other woman “f*ck you b*tch … f*ck you and Israel” while both tearing down posters of kidnapped Israeli children taken by Hamas terrorists.

Help identify them!"
37,Abier,1720289824089723151,1494,62,63,972,Israel,"This is the most accurate and realistic  
Interview played on US MSM. Can’t believe it 

We need to blast this video to get it to more people. 

#Israel #Gaza",2023-11-03T04:00:00.000Z,@abierkhatib,False,"This is the most accurate and realistic  
Interview played on US MSM. Can’t believe it 

We need to blast this video to get it to more people. 

#Israel #Gaza"
38,SW News - SOFT WAR NEWS,1720236626801205327,1284,30,35,617,Israel,"🇮🇶 Perlawanan Irak menyerang Israel dari sisi laut mati.

🇱🇧 Perlawanan Lebanon menyerang Israel dari utara.

🇾🇪 Perlawanan Yaman menyerang Israel dari selatan.

🇸🇾 Perlawanan Suriah menyerang Israel dari Golan.

🇵🇸 Gaza tidak sendirian.",2023-11-03T00:29:00.000Z,@SoftWarNews,False,"🇮🇶 Iraqi resistance attacks Israel from the side of the dead sea.

🇱🇧 Lebanese resistance attacks Israel from the north.

🇾🇪 Yemeni resistance attacks Israel from the south.

🇸🇾 Syrian resistance attacks Israel from the Golan.

🇵🇸 Gaza is not alone."
39,Arnaud Bertrand,1720303820910342644,300,26,35,151,Israel,"Looks like Israel might be outlawing opposition to the war: 
timesofisrael.com/minister-r…

They unveiled a new law ""that would allow Israel to strip individuals of citizenship if they express solidarity with terror groups or incite terror during times of war. The law would give the interior minister special war-time powers allowing them to remove the citizenship of individuals deemed to be supporting or encouraging terrorism. Rather than go to the courts, the minister would only need the approval of the justice minister"".

It obviously depends how they define ""expressing solidarity with terror groups"" but given the fact the interpretation of it seems to be at the discretion of the current government - bypassing due legal process in court - it's fair to assume the definition will be very broad... For instance it'd be easy to make the case that someone who opposes the assault on Gaza for the enormous amount of civilian deaths is ""expressing solidarity with Hamas""... At the very least, such legislation will likely intimidate people into not voicing opposition, for fear of it being interpreted that way by the current far-right Netanyahu government, who again would do the interpreting...

""The only democracy in the Middle East"" 🙄",2023-11-03T04:56:00.000Z,@RnaudBertrand,True,"Looks like Israel might be outlawing opposition to the war: 
timesofisrael.com/minister-r…

They unveiled a new law ""that would allow Israel to strip individuals of citizenship if they express solidarity with terror groups or incite terror during times of war. The law would give the interior minister special war-time powers allowing them to remove the citizenship of individuals deemed to be supporting or encouraging terrorism. Rather than go to the courts, the minister would only need the approval of the justice minister"".

It obviously depends how they define ""expressing solidarity with terror groups"" but given the fact the interpretation of it seems to be at the discretion of the current government - bypassing due legal process in court - it's fair to assume the definition will be very broad... For instance it'd be easy to make the case that someone who opposes the assault on Gaza for the enormous amount of civilian deaths is ""expressing solidarity with Hamas""... At the very least, such legislation will likely intimidate people into not voicing opposition, for fear of it being interpreted that way by the current far-right Netanyahu government, who again would do the interpreting...

""The only democracy in the Middle East"" 🙄"
40,arjun🐠 on hiatus,1720165048105001186,680,0,0,568,Palestine,please don't stop being angry for what's happening in Palestine. please don't stop being angry for these war crimes. please don't stop being angry for all the innocent lives we're losing.,2023-11-02T19:44:00.000Z,@daybreaklynx,True,please don't stop being angry for what's happening in Palestine. please don't stop being angry for these war crimes. please don't stop being angry for all the innocent lives we're losing.
41,Richard Medhurst,1720315060977897850,202,5,17,73,Palestine,"My message to the people of Gaza and Palestine |   🇵🇸رسالتي إلى أهل غزة وفلسطين

""There are no words to express the shame that we feel about what is happening to you in Gaza; and shame on the world for allowing you to go through this nightmare. 

It is so cruel to see the children of Gaza going to hospital instead of school, and being bombed instead of playing and enjoying life.

We are trying to demonstrate, to educate, and make the world aware of the injustices and cruelty of this criminal entity called ""Israel"". Words cannot express the sorrow that we feel. 

You are truly such a strong and brave people. We believe in you. We are proud of you. You, the people of Palestine, you the people of Gaza, you have shown us what a homeland means to the people whom it truly belongs to.

People of Palestine, people of Gaza, you really resemble your olive trees, whose roots are so deep in this land. Unshakeable. The world with all its might and weapons could never break you because God is in your heart and His words are your swords.

Everyone, from East to West is up in arms about the images that are coming out of Gaza. We support you with our hearts, with our minds, and with our prayers. We are all trying to do our bit, to make your voices, your suffering, and your needs heard. We will never shut up about this genocide. We will get justice for you, whatever it takes.

We know the big powers have abandoned you and betrayed you; they persecute you, just like they persecuted Jesus. But just as Jesus was resurrected, so will Palestine be resurrected. Your pain became the pain of all humankind. The names ""Gaza"" and ""Palestine"" thunder across the globe, as armies of people march for you. And why wouldn't they? Are you not the Defenders of al Aqsa, and the Guardians of al Quds?

Our love, our prayers, and our thoughts are with you, every moment of every day; and God willing you will emerge victorious.""",2023-11-03T05:40:00.000Z,@richimedhurst,True,"My message to the people of Gaza and Palestine |   🇵🇸رسالتي إلى أهل غزة وفلسطين

""There are no words to express the shame that we feel about what is happening to you in Gaza; and shame on the world for allowing you to go through this nightmare. 

It is so cruel to see the children of Gaza going to hospital instead of school, and being bombed instead of playing and enjoying life.

We are trying to demonstrate, to educate, and make the world aware of the injustices and cruelty of this criminal entity called ""Israel"". Words cannot express the sorrow that we feel. 

You are truly such a strong and brave people. We believe in you. We are proud of you. You, the people of Palestine, you the people of Gaza, you have shown us what a homeland means to the people whom it truly belongs to.

People of Palestine, people of Gaza, you really resemble your olive trees, whose roots are so deep in this land. Unshakeable. The world with all its might and weapons could never break you because God is in your heart and His words are your swords.

Everyone, from East to West is up in arms about the images that are coming out of Gaza. We support you with our hearts, with our minds, and with our prayers. We are all trying to do our bit, to make your voices, your suffering, and your needs heard. We will never shut up about this genocide. We will get justice for you, whatever it takes.

We know the big powers have abandoned you and betrayed you; they persecute you, just like they persecuted Jesus. But just as Jesus was resurrected, so will Palestine be resurrected. Your pain became the pain of all humankind. The names ""Gaza"" and ""Palestine"" thunder across the globe, as armies of people march for you. And why wouldn't they? Are you not the Defenders of al Aqsa, and the Guardians of al Quds?

Our love, our prayers, and our thoughts are with you, every moment of every day; and God willing you will emerge victorious."""
42,Iran Observer,1720110060657856522,4346,17,98,904,Palestine,"Hezbollah slogan:

“The next world is the world of Palestine”",2023-11-02T16:06:00.000Z,@IranObserver0,True,"Hezbollah slogan:

“The next world is the world of Palestine”"
43,Yves Engler,1720304489066873263,197,9,12,108,Palestine,All out for Palestine,2023-11-03T04:58:00.000Z,@EnglerYves,False,All out for Palestine
44,Rev Laskaris,1720215849733087474,860,2,33,356,Palestine,🇵🇸 FREE PALESTINE!,2023-11-02T23:06:00.000Z,@REVMAXXING,True,🇵🇸 FREE PALESTINE!
45,Censored Men,1720262063157596282,5898,69,225,2083,Palestine,🇵🇸 Man is asked why he supports Palestine.,2023-11-03T02:10:00.000Z,@CensoredMen,True,🇵🇸 Man is asked why he supports Palestine.
46,State of Palestine - MFA 🇵🇸🇵🇸,1717872840089735414,157,5,18,126,Palestine,"Martyrs and wounded in the Israeli occupation warplanes targeting of the White #Mosque in Al-Shati Refugee Camp west of Gaza City. It is noteworthy that the #Israeli occupation has destroyed around 38 mosques so far.

#Gaza_under_attack
#Palestine
#Israeliwarcrimes",2023-10-27T11:56:00.000Z,@pmofa,True,"Martyrs and wounded in the Israeli occupation warplanes targeting of the White #Mosque in Al-Shati Refugee Camp west of Gaza City. It is noteworthy that the #Israeli occupation has destroyed around 38 mosques so far.

#Gaza_under_attack
#Palestine
#Israeliwarcrimes"
47,Khamenei Media,1719800844927778987,4063,31,225,1111,Palestine,"Power of #faith determines the battle
#Gaza #Palestine",2023-11-01T19:37:00.000Z,@Khamenei_m,False,"Power of #faith determines the battle
#Gaza #Palestine"
48,tas | pipravi's lawyer,1720088071570592132,83607,53,33,42287,Palestine,putting this video on the tl make sure you dont forget who we are fighting for. they arent just numbers or names. they are people with lives and dreams and they deserve to live in a liberated palestine,2023-11-02T14:38:00.000Z,@jemravi,False,putting this video on the tl make sure you dont forget who we are fighting for. they arent just numbers or names. they are people with lives and dreams and they deserve to live in a liberated palestine
