fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified
savic ali,1719893000313278832,543,5,19,170,Israel,Israel-Palestina itu bukan perang antar dua negara. Tapi perang antara yang dijajah dengan penjajah.,2023-11-02T01:43:00.000Z,@savicali,TRUE
Mr.X,1720318609904603526,2,0,1,0,Israel,Lont3nya zionis loyah 😊,2023-11-03T05:54:00.000Z,@ze5585,FALSE
Felix Siauw,1719916609232654572,4282,34,44,1984,Israel,"Nggak semua orang mampu boikot produk/jasa yang berkaitan dengan Israel. Iya memang, kemampuan orang berbeda-beda, kita juga nggak menghakimi mereka yang tak mampu, ini soalan menunjuk muka sendiri, semaksimal diri sendiri, bukan menunjuk muka orang lain dan menilai kemampuannya",2023-11-02T03:17:00.000Z,@felixsiauw,TRUE
Amy Harwood,1720318412407353840,0,0,0,0,Hamas,We need to stop this protesting because it's not fair to the Jews or Palestine because Hamas is evil and wants to kill all of you they are terrorists you don't want to kill the Jews Israel has the right to defend themselves and they are defending you too by killing Hamas!!!,2023-11-03T05:54:00.000Z,@AmyHarw0344168,FALSE
Helene Vanderhoff,1720318412264722943,0,0,0,0,Hamas,Hundreds of innocent civilians were killed to get ONE Hamas leader is the point regardless of the name or who Hamas knew would suffer. This doesn't make it right,2023-11-03T05:54:00.000Z,@HeleneVanderhof,FALSE
TGJ TGJ,1720318412097028541,0,0,0,0,Hamas,How does he feel about it voting for Hamas as their leader ship?,2023-11-03T05:54:00.000Z,@TGJTGJ1971,FALSE
Number 99,1720318412038320500,1,0,0,0,Hamas,Does #BLM care to say a single word about #Hamas killing a black man in the 10/7 massacre? Are are you all still trying to figure out what his religion is first?,2023-11-03T05:54:00.000Z,@MmeBlackBalloon,TRUE
Layla Welch,1720299130327642499,2,0,0,1,Hamas,"It means they have no use of Hamas and they won’t care if all of their demonic terrorists are killed underground tunnels in Gaza, and they will die every single one of them like pigs!

They are doing Fatwa because all war crimes committed by Hamas under the Islamic regime’s direction and financial support are now being exposed to the entire world, so they don’t want to be blamed for all the murders Hamas committed following their orders. 

But it’s too late! The whole planet earth now knows how violent these people are and should be avoided like a virus and deadly plague!",2023-11-03T04:37:00.000Z,@LaylaWelch16,TRUE
Armand Domalewski,1720100577873686653,1573,5,82,92,Hamas,The basic problem with this thinking is that neither Netanyahu nor Hamas want this outcome—they have said so explicitly,2023-11-02T15:28:00.000Z,@ArmandDoma,FALSE
Matthias Inbar,1720195275237503007,87,10,10,114,Hamas,"Vifs échanges de feu entre des terroristes du Hamas, jihad isl et des soldats de l'armée israélienne à Jenine. Des terroristes qui n'hésitent pas à utiliser la mosquée comme position de tirs. (Vidéo). Des charges explosives également déclenchées par les hommes armés. @i24NEWS_FR",2023-11-02T21:44:00.000Z,@MatthiasInbar,FALSE
Rumeysa Şenay Yılmaz,1720011732536398128,154,1,4,140,Hamas,"Burası Batı Şeria. Burada Hamas yok!
Hani mesele Hamastı! Bunlarda mı Hamaslı şerefsizler! Alçaklar! Namussuzlar!
#GazaGenocide 
#Palestine",2023-11-02T09:35:00.000Z,@Rmysa__Ylmaz,TRUE
David Roth-Lindberg,1718023312863904138,17360,117,82,22287,Hamas,"Don't forget how Israel has treated children and how many the've killed for no reason before Oct 7. 

How are the Israelis defending themselves from Hamas by punching and kicking defenseless children?",2023-10-27T21:54:00.000Z,@RothLindberg,FALSE
AIJAC,1720266255293374881,8,0,1,4,Hamas,"Powerful words such as ‘genocide,’ ‘collective punishment,’ and ‘proportionality’ have been
thrown around loosely without thought about what they really mean in the context of the Hamas-Israel conflict. 

AIJAC’s Oved Lobel writes for the @canberratimes about what international law actually says about these words and their real meanings.
aijac.org.au/op-ed/war-is-no…

#Israel #Hamas #Gaza #MiddleEast #War #Conflict #Law #InternationalLaw #Genocide",2023-11-03T02:26:00.000Z,@AIJAC_Update,TRUE
Leo Molloy,1720261444959359130,14,0,1,4,Hamas,"Watch this and swallow it whole you delusional  woke, virtue signalling Green invertebrates, and any other supporters of the murderous Hamas terrorists ( & BTW, go learn the diff between Palestinians and Hamas )",2023-11-03T02:07:00.000Z,@LeoMolloyNZ,TRUE
ش,1720122676411269412,20942,150,75,5915,Palestine,why this caricature/propaganda is problematic - a thread:,2023-11-02T16:56:00.000Z,@litshams,TRUE
Josh Ruebner,1597619786175111168,16959,397,467,7019,Palestine,"🧵 75 years ago today, the United Nations recommended partitioning #Palestine against the wishes of its majority indigenous Palestinian population for the benefit of a minority settler-colonial movement. This injustice violated Palestinians' right to self-determination. 1/",2022-11-29T15:53:00.000Z,@joshruebner,FALSE
Zaid Patel,1720103497868120151,72,1,2,25,Palestine,Palestine Protest is also on the 11th..,2023-11-02T15:40:00.000Z,@ZaidPatel90,TRUE
ten percent here again,1720318460347944979,2,0,0,0,Palestine,FREE PALESTINE FROM HAMMAS. Ironically Israel will do that for them.,2023-11-03T05:54:00.000Z,@tenpercentagain,FALSE
Stop Cop City,1718239182697402471,95691,520,401,32951,Gaza,"At least 100,000 people are marching in London right now, demanding an immediate end to Israel’s genocide in Gaza.",2023-10-28T12:11:00.000Z,@JoshuaPHilll,TRUE
ana,1720198848616734860,1183,190,52,141,Gaza,selena gomez has liked angelina jolie’s post about gaza…now it’s time for her to post some links!! hoping she redeems herself 👀,2023-11-02T21:58:00.000Z,@withluvselena,FALSE
Michel Grossiord,1719829539348492592,72,1,5,34,Gaza,"“L’internationale islamiste se moque des malheurs de Gaza. Se servant de ses habitants comme chair à canon, elle est le propagateur de la haine des Juifs. Son poids serait moindre sans la complaisance intéressée, en Occident mais pas seulement, de gauches radicales.” @gernelle",2023-11-01T21:31:00.000Z,@MGrossiord,FALSE
يارب الجنة نسألك الجنة,1720317233769935244,3,0,0,4,Gaza,"#محاكمة_قادة_الصهاينة_كمجرمي_حرب #مطلوب_محاكمة_بايدن_كمجرم_حرب 
يرجى نشر الهشتاج واستخدامه في منشوراتنا
#GazaGenocide 
#Gaza 
#Genocide_in_Gaza 
#Gaza_Genicide 
#GangsterOppaEP2 
#غزه_مقبرة_الغزاة 
#StormCiaran 
#غزة_تنتصر 
#ابو_عبيدة 
#مجزرة_جباليا",2023-11-03T05:49:00.000Z,@Abu_Ahamed65,FALSE
Richard Medhurst,1720302841258979552,260,2,8,53,Gaza,A Resistance fighter taking out an Israeli Merkava tank. (Israel failed again today to enter Gaza by land).,2023-11-03T04:52:00.000Z,@richimedhurst,TRUE
Jesaja-Matteus ☀️,1720318407239729414,0,0,2,0,Hamas,"That's no genocide.  All Palestinians don't live on top of Hamas tunnels.  Genocide is trying to exterminate an entire race, like what Islamic terrorists want to do to the Jews.",2023-11-03T05:54:00.000Z,@jesajamatteus,TRUE
Manu 🌍,1720022925317665154,3829,12,114,1441,Hamas,"Leur cible n'est pas et n'a jamais été le Hamas mais bel et bien le peuple Palestinien. C'est un génocide, un crime contre l'humanité auquel nous assistons.",2023-11-02T10:19:00.000Z,@__nuMa,FALSE
Jorge Perez,1720318406216352021,1,0,0,0,Hamas,Israel mata mucho mas que el Hamas; no hay diferencia entre un y otro. Ahh si hay!! Miles de niños en este instante mueren y son niños tanto cuanto los de Israel. El nuevo Genocidio ahora es de Israel contra la Palestina.,2023-11-03T05:54:00.000Z,@jooren,FALSE
Tommyboyfret,1720318405218386174,0,0,0,0,Hamas,"Hamas militants ate family's meal after they tortured and mutilated parents and 2 young children, Blinken says news.yahoo.com/hamas-militan… via @Yahoo",2023-11-03T05:54:00.000Z,@Tommyboyfr55637,FALSE
DAViD.cu,1719475998771593285,2057,104,220,2949,Hamas,"Israel no tiene problemas en confirmar a CNN que han bombardeado un campo de refugiados lleno de civiles en Jabalia, Gaza, masacrando a más de 400 palestinos, según dicen fué para ""eliminar a un alto mando de Hamas""... ""les dijimos que evacuaran"" justificó el sionista.",2023-10-31T22:06:00.000Z,@_Davidcu,FALSE
Amir Taheri,1720018543914197167,262,10,9,105,Hamas,"1/Media like BBC and AFP relay Hamas propaganda by pretending they are quoting ""The Gaza Ministry of Health""or ""Gaza Red Crescent""about ""atrocities by Israel.""
They forget there are no ministries & no normal Red Crescent in Gaza.
Honest journalism is citing Hamas as your source.",2023-11-02T10:02:00.000Z,@AmirTaheri4,FALSE
Tropical_Reaper,1720318404585029938,0,0,0,0,Hamas,"Hamas drew first blood.  Maybe they should have thought things out before killing innocent children, parents, daughters and sons.  FAFO.",2023-11-03T05:54:00.000Z,@ReaperTropical,FALSE
Alice Cordier,1719968381732856060,1696,10,54,321,Hamas,Le camp de la paix en soutenant le Hamas :,2023-11-02T06:43:00.000Z,@CordierAlice2,TRUE
Rusty Doolittle,1720318403594858626,0,0,0,0,Hamas,Israel is united in defeating Hamas.,2023-11-03T05:54:00.000Z,@DocVienna33,FALSE
Brad Capaldi,1720318402554691912,0,0,0,0,Hamas,Nah man. You can support leveling Hamas and Israel.,2023-11-03T05:54:00.000Z,@TheGoatofMPVs,TRUE
Monica Chavv,1720318401925562751,0,0,0,0,Hamas,"Que Israel es un estado Nazi, su credibilidad en legítima defensa se les cae a pedazos con tal brutalidad , fuera Hamas y el estado nazi de Israel . HDSPTM. 🤬",2023-11-03T05:54:00.000Z,@chavv_monica,FALSE
El Telégrafo Ecuador,1720138710153412650,12,0,0,5,Israel,"#LoMásLeído | ¡Lamentable noticia! El surfista ecuatoriano, Israel Baraona, sufrió un infarto. Asistía a una competencia en El Salvador. #LéaloenET: tinyurl.com/yuo33ap2",2023-11-02T18:00:00.000Z,@el_telegrafo,TRUE
Humairah,1720270968051187821,55,3,2,29,Israel,"Jangan kasih kendor ,boycot terus siapapun yang mendukung israel,  abaikan antek zionis israel ini @meutya_hafid",2023-11-03T02:45:00.000Z,@Humairah_922,FALSE
Ahmad M. Yassine | أحمد م. ياسين,1719260839708967307,13637,33,8,10958,Israel,"As usual, you delete pictures that do not serve the Israeli propaganda. The pictures below are of Palestinians using seawater to bathe and wash clothes because Israel has cut off their water and electricity",2023-10-31T07:51:00.000Z,@Lobnene_Blog,TRUE
Robert Carter,1719838524592074984,1478,5,34,615,Israel,"Stop taking your audience for fools, Ben.

Everyone reading your posts can read between the lines. It's as clear as day. 

Israel is inflicting massive civilian losses on purpose and hopes to drive the survivors into the Sinai.

You know it too, but act otherwise.",2023-11-01T22:07:00.000Z,@Bob_cart124,TRUE
Hernandez,1720318607530307628,0,0,0,0,Israel,"Y en serio creen que porque eso está algo lejos no va a afectar a nadie más, solo van por Israel, jajajaja MIREN COMO UNA ISLA TIENE DOMINADA LATINOAMÉRICA CON EL SOCIALISMO, todos pensaron que eso era solo un problema de Cuba... 
No ayudaron a tiempo a los cubanos y miren....",2023-11-03T05:54:00.000Z,@hekeyris27211,TRUE
🍉Free Palestine 🇵🇸🍉,1720318457450000584,0,0,0,0,Palestine,Karek ge balik jum'atan duh si paiii mah,2023-11-03T05:54:00.000Z,@bekokjin,FALSE
Gillian Galang💙,1720303320383037478,30,0,0,6,Palestine,"FREE PALESTINE
CEASE FIRE NOW
STOP THE GENOCIDE
STOP THE ETHNIC CLEANSING
THIS IS NOT A SELF DEFENSE FOR ISRAEL",2023-11-03T04:54:00.000Z,@gillianthreeG,FALSE
💫Julieanne 🖤☀️❤️🏳️‍🌈💙,1720318455541551388,0,0,0,0,Palestine,Meanwhile Murdoch interests in the Middle East flourish at the expense of the people of Palestine,2023-11-03T05:54:00.000Z,@JJoolan,FALSE
Anadolu English,1720307741443428578,34,0,2,39,Palestine,Palestine TV correspondent Muhammad Abu Hatab killed along with 10 members of his family on Israeli airstrike targeted his house in Gaza v.aa.com.tr/3041900,2023-11-03T05:11:00.000Z,@anadoluagency,TRUE
Narendra Maurya,1720318563599499613,2,0,0,2,Gaza,"BIG BREAKING NEWS - US VP Kamala Harris said US won't tell Israel how to conduct the war 🔥🔥 

A journalist had asked her if a refugee camp in Gaza is a legitimate target for a military attack

US further approves bill for $14.3 billion dollars in aid to Israel. Massive Israeli Airstrike continues",2023-11-03T05:54:00.000Z,@narendra483,TRUE
Fred Schnapp 🇨🇵🇩🇪🇪🇺🧹,1720318563230028269,1,0,0,0,Gaza,"#158 ist nicht schön(keine Leiche,kein Blutvergießen), sollte aber in der Tagesschau laufen. Sagt alles über Gaza.  
Bei den meisten habe ich mich nur getraut zu lesen.
Aber wenn wir jetzt nicht gegensteuern, werden wir, unsere Kinder, das irgendwann ungewollt sehen müssen.",2023-11-03T05:54:00.000Z,@Fredelapetite,FALSE
TIMES OF GAZA,1719425419806453913,69622,600,332,37721,Gaza,Different “life” cycle | Gaza.,2023-10-31T18:45:00.000Z,@Timesofgaza,FALSE
Shayan Sardarizadeh,1720309074246459849,124,2,6,20,Gaza,"There's been no shortage of devastating images and videos of death and destruction from Gaza during this war.

But this image is AI-generated. It's not real.",2023-11-03T05:16:00.000Z,@Shayan86,FALSE
Carlos Loret de Mola,1720263038404571372,1102,2,55,410,Gaza,"Declaran desastre para el 70% de la población de Guerrero, dos y medio millones de personas. 
El gobierno recorta los presupuestos de todos los organismos con los que el presidente se ha enfrentado. 
Logró salir de Gaza una de las mexicanas atrapadas, falta otra y además hay dos rehenes en poder del grupo terrorista Hamás. 
#Loret 9pm en @latinus_us:",2023-11-03T02:14:00.000Z,@CarlosLoret,TRUE
sarah,1720113656992592088,7593,221,242,3362,Gaza,"BREAKING: In a United Nations vote, every country in the world has condemned the U.S. blockade on Cuba, with the exception of the United States and Israel—the 2 very same entities which are jointly committing a genocide against the Palestinian people in Gaza.

(Ukraine abstained)",2023-11-02T16:20:00.000Z,@sahouraxo,TRUE
RabindranathKondath,1720318401854447828,1,0,0,0,Hamas,"@POTUS
@OlafScholz
Russia Starts a new front- the Israeli-Hamas 
Inferno

This to ensnare the US & divert its resources away from Ukraine

Biden & Scholz in a mouse trap

Of course Russia has crashed & is Desperate
now
It's best option
Remains
Yours Faithfully
To EXIT Ukraine
♧",2023-11-03T05:54:00.000Z,@rabi_g3,FALSE
Kat Kanada,1720170332731175395,524,10,52,258,Hamas,"Yes another embarrassing moment for Canada:

Albertan parliamentarians applaud Hamas sympathizer & Taliban apologist after he was introduced by NDP MLA Rod Loyola. 

What is happening to our country? 🤔

🚨🚨🚨
thecountersignal.com/www-the…",2023-11-02T20:05:00.000Z,@KatKanada_TM,TRUE
poernamasaja,1720318400877273209,0,0,0,0,Hamas,"Houthi, Iran, hizbullah jelas Syiah, saat mereka mendukung Hamas di Gaza, jadi seolah ga ada perbedaan dg IM.
Allhamdulillah",2023-11-03T05:54:00.000Z,@d_dpurnama,FALSE
SS,1720318399501471936,0,0,0,0,Hamas,Screw hamas & those that accommodate them.,2023-11-03T05:54:00.000Z,@ss96990,TRUE
"Carlo ""Realism, Gedankenfetzen and Rants"" Masala",1720132075779506521,1105,6,37,106,Hamas,"Ja und nein. Die Frage ist, von welchem Waffenstillstand wir reden. Hamas will den klassischen Waffenstillstand, der verhandelt sein soll und die Kämpfe dauerhaft einstellt. Das ist ein absolutes  no go. Ein solcher Prozess würde a) Hamas politisch auf Augenhöhe mit Israel heben1",2023-11-02T17:33:00.000Z,@CarloMasala1,FALSE
Dr. Anastasia Maria Loupis,1720226931881242979,2842,111,333,1475,Hamas,"🇮🇱 IDF whistleblower exposes the Israeli lies:

“this operation was not from Hamas”",2023-11-02T23:50:00.000Z,@DrLoupis,TRUE
Alexis Poulin,1719641122652238134,2094,8,95,832,Hamas,"Le tuto pour « comment faire passer des centaines de morts innocents pour des victimes collatérales ou des boucliers humains. » 

Les chefs du Hamas sont à Doha, au Qatar sinon.",2023-11-01T09:02:00.000Z,@Poulin2012,TRUE
lara🩸🪓🦇,1720106342206099515,1250,73,25,387,Hamas,"Están pidiendo donaciones para el ejército israelí y que puedas poner un mensaje personalizado en los misiles que lanzan en Gaza.
“Qué ganas de broncearme en la nueva playa de Gaza! xoxo”
“Qué ganas de comer Humus de Hamás en la playa de Gaza”",2023-11-02T15:51:00.000Z,@laralorvano,FALSE
Giuliano Granato,1720022828613865896,394,7,46,182,Hamas,"#Israele si narra come civile e caritatevole.
Avvisa prima di bombardare.
Chiede ai 🇵🇸 di “evacuare” il Nord di #Gaza per evitare le bombe.

#1novembre: truppe 🇮🇱 aprono il fuoco contro un bus dell'#ONU.
Che trasportava civili dal Nord al Sud.

Anche su questo bus c'era #Hamas?",2023-11-02T10:19:00.000Z,@Giul_Granato,FALSE
David דוד 🕎,1720121725210284076,692,19,16,236,Israel,"Am Israel Jai💪🇮🇱✡️
#NeverAgainIsNow 
#OrgullosoDeSerJudio",2023-11-02T16:52:00.000Z,@davidgon0917,FALSE
Dr Statistics,1720318606850834715,0,0,0,0,Israel,Whilst backing Israel completely in killing thousands of Gazan civilians. It’s weird isn’t it.,2023-11-03T05:54:00.000Z,@gettingworse666,FALSE
Cordova Media,1720038594302337137,1080,52,26,1016,Israel,"Untuk kedua kalinya, penjajah Israel kembali merudal kamp pengungsi Jabaliya yang sebelumnya menyebabkan ratusan meninggal dunia dan terluka. 

Ketika ditanya apa lagi alasannya melakukan itu untuk kedua kalinya, jubir PM Israel menjawab, ""Sayangnya tidak Boris! Saya tidak bisa memberikan informasi apapun tentang aktivitas operasi militer yang sedang terjadi.""

Jubir PM Israel, Tal Heinrich di akhir video terciduk keceplosan mengatakan bahwa Israel ""tidak menarget siapapun di Gaza selain warga sipil."" Yang kemudian dia revisi, ""melainkan t3roris.""",2023-11-02T11:22:00.000Z,@cordova_media,TRUE
Wanderer,1720318606305903083,0,0,0,0,Israel,It’s time to break up with Netanyahu. No more aid for Israel. No more genocide of the Palestinians. #CeasefireForGazaNOW,2023-11-03T05:54:00.000Z,@elizabe92839901,FALSE
Raphael Mimoun,1392323061513297921,68187,4534,899,38727,Israel,"I grew up in a Zionist household, spent 12 years in a Zionist youth movement, lived 4 years in Israel, and have friends and family who served in the IDF.  

When that is your world, it's hard to see apartheid when it's happening. 

1/16",2021-05-12T03:37:00.000Z,@RaphMim,FALSE
Mediavenir,1720196713242054988,4706,416,503,504,Israel,"🇺🇸🇮🇱 ""Fuck you and fuck Israël, bitch"" : 2 femmes ont été filmées en train d’arracher des affiches de soutien aux otages israéliens, qu’elles accusent d’être de la ""propagande"", à #NewYork. L’acteur américain Michael Rapaport offre une récompense de 1.000$ pour les retrouver. (X)",2023-11-02T21:50:00.000Z,@Mediavenir,TRUE
Elif Erdag,1720158319652860148,44,0,5,26,Palestine,"BOYKOT ÇOK ŞEYİ DEĞİŞTİRİR!

🚫Katliama Ortak Olma!

Boykota Devam Ediyoruz
#Palestine
#ELKASSAMTUGAYLARI 
Türkler #Ebu_Ubeyde Azerbaycan 
Kiryat Şimona Ayakkabı Şerefsiz Oğuzhan Uğur  TSK Gazze'ye Ermeni AFAD Demet Akalın Askerlik Ülkü Ocakları İyi Parti  Domuz Nebi Hatipoğlu",2023-11-02T19:17:00.000Z,@__elifasil__,FALSE
✿ FREE PALESTINE,1720318453502922811,0,0,0,0,Palestine,No honey none of the countries you mentioned stand with you stop being delusional,2023-11-03T05:54:00.000Z,@junhyeonnz,TRUE
AoR News 🇵🇸🇱🇧🇸🇾🇮🇶🇮🇷🇾🇪,1720212883366158564,194,3,2,45,Palestine,"Islamic Resistance in Iraq release picture of cruise missile with the message:

In support of our people in Palestine, and to avenge the martyrs, next week we will begin a new phase in confronting the enemies, and it will be more severe and widespread on its bases in the region",2023-11-02T22:54:00.000Z,@AoR3138,TRUE
Amina Zubair,1720311945402683636,32,0,0,10,Palestine,"A Tunisian tennis star, Ons Jabeur, cried and says she will donate part of her prize money to help the Palestinians. 
#Gaza #Palestine #ابو_عبيدة #CeasefireForGazaNOW",2023-11-03T05:28:00.000Z,@amnakhani123,TRUE
Aviah Sarah Day,1720019499665981945,1346,5,20,301,Palestine,"I have been organising as an anti Zionist Jew for nearly 20 years. I used to feel lonely, now I am surrounded by hundreds and hundreds of anti Zionist Jews on every Palestine demo…now I am surrounded by anti Zionist Jews at my Shul. You must know that things are changing.",2023-11-02T10:06:00.000Z,@Aviah_Sarah_Day,FALSE
Adeeb Sheikh,1720318451783274497,0,0,0,0,Palestine,"The corespondent of Palestine Tv Mohammed Abu Hatab was killed along with his family after the bombing of his home in Gaza. 2.11.23  

#GazaGenoside #Gaza #Palestine #Yemen #Hezbollah",2023-11-03T05:54:00.000Z,@adeeb_sheikh1,TRUE
Al Jazeera English,1720050074254741865,14929,262,347,6754,Palestine,"“It’s very tough seeing children, babies dying every day. It’s heartbreaking.”

Tunisian tennis star Ons Jabeur gets emotional after her match win and pledges to donate part of her prize money to help Palestinians.",2023-11-02T12:07:00.000Z,@AJEnglish,TRUE
Stop Cop City,1720267227440521359,665,2,3,277,Gaza,"“Work from staff on conditions in Gaza is being ignored - perhaps like a recent internal State Department report finding that over 80,000 babies under six months and pregnant people in Gaza are being forced to drink contaminated or brackish water due to Israel's blockade.”",2023-11-03T02:30:00.000Z,@JoshuaPHilll,FALSE
Salwa Saeed 🇰🇼,1720065523243684190,13,0,3,3,Gaza,Any word to stop financing war on children of Gaza...,2023-11-02T13:09:00.000Z,@Salwa_S_Sa,TRUE
The Fact Finder,1720297249802985517,55,0,0,47,Gaza,"Injuries arrive to the hospital following an Israeli bombardment that targeted a home in Gaza.

Via @hamza_w_dahdooh",2023-11-03T04:30:00.000Z,@FactualNarrator,FALSE
El Necio,1720246049623642322,135,5,11,163,Gaza,"🇮🇱 ISRAEL DECLARA HABER CERCADO LA CIUDAD DE GAZA 🇵🇸

👉 El ejército israelí anuncia que en el transcurso de la invasión de la Franja de Gaza ha bloqueado todas las rutas de entrada y salida a la ciudad de Gaza.

🇮🇱🇵🇸 Salamoun Maarouf, director de la Oficina de Medios del gobierno de Gaza, ha confirmado que ""el ejército israelí ha controlado y cortado todas las carreteras que conducen desde el norte de Gaza hacia el sur de Gaza, incluida la carretera costera""",2023-11-03T01:06:00.000Z,@ElNecio_Cuba,TRUE
Kashif Naseer 🇲🇻,1720300080987828584,4,0,0,4,Gaza,For the Children of Gaza shall never again touch these!,2023-11-03T04:41:00.000Z,@Kashif_Nasyr,TRUE
William Ortiz Rosario,1720268255787438312,103,1,8,59,Hamas,"Los comunistas piden alto al fuego a Israel, pero ninguno de ellos le pide alto al fuego a los terroristas de Hamás. ¿No crees que se les ve el refajo? Favorecen el terrorismo.",2023-11-03T02:34:00.000Z,@AssaCaribbean,TRUE
Nino Brodin,1720318397286686762,0,0,0,0,Hamas,"Booby traps, mines: Hamas’ tunnel network under Gaza helps in a war smh.com.au/world/middle-east… via @smh",2023-11-03T05:54:00.000Z,@Orgetorix,TRUE
φά,1718308838493827525,37813,111,40,23546,Hamas,do you guys remember how the israelis were whining and shedding crocodile tears about how hamas had attacked them on the most holiest of holidays. well this is what the IDF does EVERY EID. every eid the israeli police go into masjid al-aqsa and beat the shit out of people praying,2023-10-28T16:48:00.000Z,@unfalike,FALSE
Edyokee,1720318396729049259,0,0,0,0,Hamas,Yahhh eh laaaa. Hamas pesek usir yahudi pesek .,2023-11-03T05:54:00.000Z,@Edyokee,FALSE
Damien Rieu,1720172795471032529,1222,16,131,486,Hamas,"La France : “C’est impossible, les supporters du Hamas sont là c’est trop tard, on ne peut plus rien faire !” 

Le Pakistan :",2023-11-02T20:15:00.000Z,@DamienRieu,TRUE
Shmulik 🇮🇱🇪🇸,1720318394665160752,0,0,0,0,Hamas,"Is Gaza the largest prison in the world? Look at the map. It's clear that those imprisoned are the Israelis not the Gazans. But if nobody speaks of Israel as a prison is because it's a free democratic country. If Gaza is a prison it's not because of Israel, but because of Hamas.",2023-11-03T05:54:00.000Z,@Shmulik58761599,FALSE
Tedros Adhanom Ghebreyesus,1718160325323735365,9444,216,663,4341,Gaza,"Reports of intense bombardment in Gaza are extremely distressing. 

Evacuation of patients is not possible under such circumstances, nor to find safe shelter.

The blackout is also making it impossible for ambulances to reach the injured.

We are still out of touch with our staff and health facilities. I’m worried about their safety.

@WHO appeals to all those who have the power to push for a ceasefire to act NOW.",2023-10-28T06:58:00.000Z,@DrTedros,TRUE
La Base,1720146552881115404,269,1,11,190,Gaza,"¿Qué dicen los medios en Israel sobre las muertes de civiles en Gaza? Manu Levin nos ha mostrado algunos ejemplos dantescos 👇🏾 

📺 La Base | piped.video/_ZZp5bABVFE",2023-11-02T18:31:00.000Z,@LaBase_TV,TRUE
💜AurorLea⁷💜,1720279014223290783,25,0,0,6,Gaza,"Please take this as a reminder that all the people who died in Gaza were real people. They had hobbies, passions and aspiration just like us. They were not just numbers and corps covered in white fabric. They were people, just like us. They deserved life, just as much as we do.",2023-11-03T03:17:00.000Z,@AuroraOrLea,TRUE
Noémie Halioua,1720097677139226667,143,4,17,90,Israel,"Tirs massifs de missiles anti-chars et d'obus de mortiers depuis le territoire libanais sur le territoire israélien il y a quelques minutes.
La population du nord dans les abris.
Souvent, ces tirs servent à dissimuler des infiltrations terroristes en Israël.",2023-11-02T15:16:00.000Z,@NaomiHalll,TRUE
Cupcake Boner,1720275469642117149,20,1,5,1,Israel,"I mean, as an American, if I was missing a family member, I wouldn't put posters up in Israel.",2023-11-03T03:03:00.000Z,@cupcakeboner,FALSE
Visegrád 24,1720306728015626506,209,9,96,66,Israel,"An Iranian proxy-group in Iraq announces it launched suicide drones toward Israel today.

It’s the first air attack against Israel from Iraqi territory since Saddam did it in the 1900",2023-11-03T05:07:00.000Z,@visegrad24,TRUE
Ayşe Hatun,1719871063327445342,86,1,6,41,Palestine,"Aldığınız ürünler, Filistinli ve Müslüman bebeklere kurşun olmasın.

Boykota Devam
#BoykotaDevam
#Boykotisrail
#Boykot

Filistin'in YANINDAYIZ
#Palestine
#SavaşDeğilSoykırım
#IsraelTerrorists",2023-11-02T00:16:00.000Z,@aysehatnn,FALSE
State of Palestine - MFA 🇵🇸🇵🇸,1718290483707830549,264,6,14,183,Palestine,"The mother of the child Muhammad Abu Salah embraces the body of her son who was killed yesterday by an Israeli air strike east of Khan Yunis, southern Gaza. 

والدة الطفل محمد ابو صلاح تودع نجلها الذي ارتقى في قصف اسرائيلي على مدينة خانيونس يوم امس

#Gaza_Under_Attack
#Palestine
#IsraeliWarCrimes",2023-10-28T15:35:00.000Z,@pmofa,TRUE
Ramzy,1718669303896019071,2089,279,108,922,Palestine,this Zionist slapped my brother yesterday in Brooklyn at a Pro Palestine Protest,2023-10-29T16:41:00.000Z,@ramzyabdelaal,FALSE
#TheMask,1720318449480790239,0,0,0,0,Palestine,"⚡️Occupied Palestine: Al-Mayadeen correspondent: #Israeli artillery shelling east of the city of Rafah, south of the #Gaza Strip.

#FreePalaestine",2023-11-03T05:54:00.000Z,@suryaboy89,FALSE
TRT World,1720109968219611207,299,20,18,253,Palestine,Extremist Israeli rabbis published an open letter giving PM Netanyahu religious authorisation to bomb the biggest civilian hospital in Palestine’s Gaza,2023-11-02T16:05:00.000Z,@trtworld,FALSE
Rymu🪷🇵🇸,1720204175366099063,249,2,16,120,Palestine,"From the river to the sea, Palestine will be free! 
من النهر إلى البحر، فلسطين ستكون حرة!

#FreePalestine 

(Please do not repost)",2023-11-02T22:20:00.000Z,@Rymu92,FALSE
Neşe Ay_1🇹🇷,1720130223692214331,162,0,10,75,Palestine,"Selamünaleyküm
Hayırlı akşamlar 
Hayırlı CUMALAR🤲🤲🤲

#ELKASSAMTUGAYLARI / Abbas /
TSK Gazze'ye / Mahmut Abbas /
Askerlik / Ekrem / Erbakan /
Ayakkabı/ Milli Savunma Bakanlığı 
#Palestine
#GazaGenoside
#EbuUbeyde 
#غزة_تنتصر 
#مجزرة_جباليا",2023-11-02T17:26:00.000Z,@hickimse200,FALSE
